task,variant,metric,mean,std,n_seeds
md,v1,auc,0.5208202299606758,0.00595252089236124,3
md,v1,ap,0.0863313824050424,0.0012135694177606616,3
md,v1,precision,0.05000000000000001,6.938893903907228e-18,3
md,v1,recall,1.0,0.0,3
md,v1,f1,0.09523809523809523,0.0,3
md,v1,accuracy,0.05000000000000001,6.938893903907228e-18,3
md,v1,mrr,0.2587855320959388,0.002788730666476394,3
md,v1,hits@1,0.1208133971291866,0.0035214357521243357,3
md,v1,hits@3,0.27910685805422647,0.005379081963011178,3
md,v1,hits@5,0.3839712918660287,0.00640445709896691,3
md,v1,train_time_s,0.7496035893758138,0.15447537886334367,3
md,v1,best_val_loss,0.6722583572069804,0.0013929643233849382,3
md,v1,best_epoch,3.0,0.0,3
