task,variant,metric,mean,std,n_seeds
mg,v1,auc,0.4972476830124463,0.018896072766833017,3
mg,v1,ap,0.33213415609567515,0.010138760367976677,3
mg,v1,precision,0.3333333333333333,0.0,3
mg,v1,recall,1.0,0.0,3
mg,v1,f1,0.5,0.0,3
mg,v1,accuracy,0.3333333333333333,0.0,3
mg,v1,mrr,0.6090510366826156,0.022661305907727903,3
mg,v1,hits@1,0.3293460925039872,0.035809773715020275,3
mg,v1,hits@3,1.0,0.0,3
mg,v1,hits@5,1.0,0.0,3
mg,v1,train_time_s,17.9516658782959,1.3777400637845751,3
mg,v1,best_val_loss,0.7231054504712423,0.04962863042077312,3
mg,v1,best_epoch,3.3333333333333335,1.247219128924647,3
