task,variant,metric,mean,std,n_seeds
ml,v1,auc,0.42856549547617356,0.006347506218911085,3
ml,v1,ap,0.041453337455874754,0.0009487126699074466,3
ml,v1,precision,0.05000000000000001,6.938893903907228e-18,3
ml,v1,recall,1.0,0.0,3
ml,v1,f1,0.09523809523809523,0.0,3
ml,v1,accuracy,0.05000000000000001,6.938893903907228e-18,3
ml,v1,mrr,0.13387129390604033,0.006659157843962815,3
ml,v1,hits@1,0.02631578947368421,0.005168054783419347,3
ml,v1,hits@3,0.08572567783094098,0.007330453074501688,3
ml,v1,hits@5,0.15031897926634766,0.015266498978530033,3
ml,v1,train_time_s,0.46280503273010254,0.16381776894954445,3
ml,v1,best_val_loss,0.6961165467898051,0.0007082959328011351,3
ml,v1,best_epoch,1.0,0.0,3
