task,variant,metric,mean,std,n_seeds
pc,v1,auc,0.6149886486420862,0.0,1
pc,v1,ap,0.3863558347495534,0.0,1
pc,v1,precision,0.32407407407407407,0.0,1
pc,v1,recall,0.6097560975609756,0.0,1
pc,v1,f1,0.42321644498186217,0.0,1
pc,v1,accuracy,0.5844947735191638,0.0,1
pc,v1,mrr,0.5987224157955865,0.0,1
pc,v1,hits@1,0.37282229965156793,0.0,1
pc,v1,hits@3,0.7560975609756098,0.0,1
pc,v1,train_time_s,295.2666049003601,0.0,1
pc,v1,best_val_loss,1.3071489334106445,0.0,1
pc,v1,best_epoch,24.0,0.0,1
