task,variant,metric,mean,std,n_seeds
pc,v3,auc,0.6743583413932696,0.024662323432263034,3
pc,v3,ap,0.40324990571954755,0.006420414106101739,3
pc,v3,precision,0.28430391181145986,0.02030855201862878,3
pc,v3,recall,0.8722415795586528,0.10646042293176293,3
pc,v3,f1,0.4257197572854698,0.009262010827548472,3
pc,v3,accuracy,0.4088269454123113,0.09142146411805654,3
pc,v3,mrr,0.6765389082462253,0.021613140110080198,3
pc,v3,hits@1,0.47270615563298485,0.026433929562696967,3
pc,v3,hits@3,0.8629500580720092,0.03602337379621564,3
pc,v3,train_time_s,30.21084116802861,2.795843834242406,3
pc,v3,eval_time_s,0.09768721996806562,0.003911004189076918,3
pc,v3,elapsed_time_s,30.555025424963485,2.98262867489995,3
pc,v3,time_to_best_s,24.136485943648342,2.7945560118165336,3
pc,v3,best_val_loss,1.3414477109909058,0.00565411314722936,3
pc,v3,best_epoch,19.333333333333332,1.699673171197595,3
