task,variant,metric,mean,std,n_seeds
md,v1,auc,0.5317120947041489,0.006495870351489566,3
md,v1,ap,0.08105565682217954,0.0025000546164631538,3
md,v1,precision,0.05000000000000001,6.938893903907228e-18,3
md,v1,recall,1.0,0.0,3
md,v1,f1,0.09523809523809523,0.0,3
md,v1,accuracy,0.05000000000000001,6.938893903907228e-18,3
md,v1,mrr,0.2547678968206655,0.0038085090187829785,3
md,v1,hits@1,0.11802232854864435,0.003139556568585255,3
md,v1,hits@3,0.26435406698564595,0.008790034962140592,3
md,v1,hits@5,0.3672248803827751,0.009912123520459358,3
md,v1,train_time_s,0.7023088932037354,0.15564326447245472,3
md,v1,best_val_bce,0.9328174392382304,0.012870795126813299,3
md,v1,best_epoch,1.0,0.0,3
