task,variant,metric,mean,std,n_seeds
md,v1,auc,0.520820242511799,0.00595251454290737,3
md,v1,ap,0.08633138416822156,0.001213567200255447,3
md,v1,precision,0.05000000000000001,6.938893903907228e-18,3
md,v1,recall,1.0,0.0,3
md,v1,f1,0.09523809523809523,0.0,3
md,v1,accuracy,0.05000000000000001,6.938893903907228e-18,3
md,v1,mrr,0.2587855320959388,0.002788730666476394,3
md,v1,hits@1,0.1208133971291866,0.0035214357521243357,3
md,v1,hits@3,0.27910685805422647,0.005379081963011178,3
md,v1,hits@5,0.3839712918660287,0.00640445709896691,3
md,v1,train_time_s,0.7776973247528076,0.172254432218094,3
md,v1,best_val_loss,0.6722583373387655,0.0013929363223438374,3
md,v1,best_epoch,3.0,0.0,3
