movie_local,target_local,score,label
2852,2,2.7697112560272217,1
2852,1,2.80320405960083,0
2852,0,2.5698721408843994,0
1674,2,2.895474910736084,1
1674,0,2.667114734649658,0
1674,1,2.986828565597534,0
2613,2,2.444622039794922,1
2613,0,2.194375514984131,0
2613,1,2.542168378829956,0
2715,0,2.1827735900878906,1
2715,2,2.5092358589172363,0
2715,1,2.5283520221710205,0
2019,2,2.6505885124206543,1
2019,0,2.3729920387268066,0
2019,1,2.7485697269439697,0
141,0,2.010556936264038,1
141,2,2.3013124465942383,0
141,1,2.4167356491088867,0
1550,0,1.989518165588379,1
1550,1,2.3193421363830566,0
1550,2,2.3039438724517822,0
621,1,2.87357497215271,1
621,0,2.6357624530792236,0
621,2,2.7561445236206055,0
1076,1,2.592526912689209,1
1076,2,2.611621856689453,0
1076,0,2.3738720417022705,0
2045,1,2.6832380294799805,1
2045,2,2.5884475708007812,0
2045,0,2.360340118408203,0
2494,1,2.630646228790283,1
2494,2,2.3987913131713867,0
2494,0,2.3445019721984863,0
1056,0,2.4958415031433105,1
1056,2,2.5488579273223877,0
1056,1,2.670083999633789,0
2615,1,2.563232421875,1
2615,0,2.272329568862915,0
2615,2,2.4462270736694336,0
3297,1,2.4844627380371094,1
3297,0,2.282806396484375,0
3297,2,2.3830034732818604,0
369,1,2.6731789112091064,1
369,0,2.4068171977996826,0
369,2,2.705190420150757,0
443,2,2.5921761989593506,1
443,0,2.60219144821167,0
443,1,2.6961450576782227,0
1637,0,2.590514898300171,1
1637,1,2.9502735137939453,0
1637,2,2.8084540367126465,0
3840,2,2.392275810241699,1
3840,1,2.455801010131836,0
3840,0,2.249208927154541,0
2720,1,2.8617565631866455,1
2720,0,2.57619309425354,0
2720,2,2.723762035369873,0
2776,2,2.6282553672790527,1
2776,0,2.6442434787750244,0
2776,1,2.853970527648926,0
145,0,2.5609354972839355,1
145,2,2.782259941101074,0
145,1,2.9363718032836914,0
999,2,2.4534199237823486,1
999,0,2.261723041534424,0
999,1,2.607271671295166,0
1975,2,2.5321176052093506,1
1975,1,2.674172878265381,0
1975,0,2.3359038829803467,0
30,0,2.2806754112243652,1
30,2,2.438027858734131,0
30,1,2.525954246520996,0
144,0,2.280972480773926,1
144,1,2.496792793273926,0
144,2,2.392090082168579,0
3119,1,2.7285218238830566,1
3119,0,2.434695243835449,0
3119,2,2.607144594192505,0
3975,1,2.7530672550201416,1
3975,2,2.6105241775512695,0
3975,0,2.5693299770355225,0
2340,2,2.7247955799102783,1
2340,0,2.5959300994873047,0
2340,1,2.893887996673584,0
1919,1,2.689962148666382,1
1919,0,2.327105760574341,0
1919,2,2.5425195693969727,0
2412,0,2.4768714904785156,1
2412,1,2.6134939193725586,0
2412,2,2.526242971420288,0
2100,1,3.1707286834716797,1
2100,0,2.8242528438568115,0
2100,2,2.989445686340332,0
3571,2,2.826831340789795,1
3571,0,2.6275832653045654,0
3571,1,2.961534023284912,0
933,0,2.309597969055176,1
933,1,2.4330477714538574,0
933,2,2.3787901401519775,0
3475,2,2.601149320602417,1
3475,1,2.727909803390503,0
3475,0,2.4656927585601807,0
888,2,2.5060348510742188,1
888,1,2.617626190185547,0
888,0,2.4289748668670654,0
2916,0,2.1315770149230957,1
2916,2,2.467723846435547,0
2916,1,2.4883837699890137,0
3855,1,3.0794551372528076,1
3855,0,2.980581283569336,0
3855,2,2.910667896270752,0
1051,2,2.6423182487487793,1
1051,1,2.7903637886047363,0
1051,0,2.3745808601379395,0
295,0,2.348006248474121,1
295,2,2.4728708267211914,0
295,1,2.5390992164611816,0
3702,2,2.6183481216430664,1
3702,1,2.7251527309417725,0
3702,0,2.524966239929199,0
3074,1,2.47194766998291,1
3074,0,2.1103553771972656,0
3074,2,2.4101178646087646,0
4007,2,2.5969831943511963,1
4007,1,2.575951099395752,0
4007,0,2.561490774154663,0
606,0,2.7517600059509277,1
606,1,3.159926652908325,0
606,2,2.912118434906006,0
1932,1,2.747093439102173,1
1932,2,2.6632628440856934,0
1932,0,2.358884334564209,0
3205,2,2.329770565032959,1
3205,0,2.259618043899536,0
3205,1,2.497128963470459,0
16,0,2.3223514556884766,1
16,2,2.4140713214874268,0
16,1,2.4241323471069336,0
54,0,2.7764837741851807,1
54,1,2.8706750869750977,0
54,2,2.677065134048462,0
3969,2,2.731593132019043,1
3969,0,2.5530688762664795,0
3969,1,2.7983975410461426,0
3224,1,2.853044033050537,1
3224,2,2.7212817668914795,0
3224,0,2.5212156772613525,0
1567,1,2.7774124145507812,1
1567,0,2.623471260070801,0
1567,2,2.6835262775421143,0
3919,1,2.626659870147705,1
3919,0,2.3107144832611084,0
3919,2,2.579209566116333,0
178,0,2.448762893676758,1
178,2,2.6734609603881836,0
178,1,2.775207281112671,0
420,0,2.445530652999878,1
420,1,2.8000760078430176,0
420,2,2.744321346282959,0
1736,1,2.6365935802459717,1
1736,0,2.313805341720581,0
1736,2,2.501448631286621,0
2446,0,2.427055597305298,1
2446,1,2.733825922012329,0
2446,2,2.621893882751465,0
3179,2,2.5430798530578613,1
