task,variant,metric,mean,std,n_seeds
mg,v4,auc,0.5001876769457354,0.021010024786648176,3
mg,v4,ap,0.33500117121699075,0.012011103430468904,3
mg,v4,precision,0.3333333333333333,0.0,3
mg,v4,recall,1.0,0.0,3
mg,v4,f1,0.5,0.0,3
mg,v4,accuracy,0.3333333333333333,0.0,3
mg,v4,mrr,0.611842105263158,0.025732895710070994,3
mg,v4,hits@1,0.3325358851674641,0.041344438267354774,3
mg,v4,hits@3,1.0,0.0,3
mg,v4,hits@5,1.0,0.0,3
mg,v4,train_time_s,16.58237364667002,0.6688030402370834,3
mg,v4,eval_time_s,0.053721329992792256,0.000531688156926893,3
mg,v4,elapsed_time_s,16.8425259013311,0.5664858467835076,3
mg,v4,time_to_best_s,2.0525639236633046,0.6533220144465163,3
mg,v4,best_val_loss,0.723239799340566,0.03847797338840881,3
mg,v4,best_epoch,2.0,0.816496580927726,3
