movie_local,target_local,score,label
2852,2,2.132695198059082,1
2852,1,1.902665376663208,0
2852,0,1.9704275131225586,0
1674,2,1.9480422735214233,1
1674,0,1.8495275974273682,0
1674,1,1.8062299489974976,0
2613,2,1.8482526540756226,1
2613,0,1.698443055152893,0
2613,1,1.7430682182312012,0
2715,0,1.702825903892517,1
2715,2,1.8617594242095947,0
2715,1,1.7012559175491333,0
2019,2,1.931139349937439,1
2019,0,1.7467992305755615,0
2019,1,1.7815097570419312,0
141,0,1.5230329036712646,1
141,2,1.7065272331237793,0
141,1,1.616560459136963,0
1550,0,1.4777727127075195,1
1550,1,1.5461137294769287,0
1550,2,1.647629737854004,0
621,1,1.96617591381073,1
621,0,2.0234527587890625,0
621,2,2.1136810779571533,0
1076,1,1.7100939750671387,1
1076,2,1.9284043312072754,0
1076,0,1.7498379945755005,0
2045,1,1.7710378170013428,1
2045,2,1.9168705940246582,0
2045,0,1.769517183303833,0
2494,1,1.764314889907837,1
2494,2,1.867633581161499,0
2494,0,1.8509113788604736,0
1056,0,1.8733752965927124,1
1056,2,1.952399492263794,0
1056,1,1.8043755292892456,0
2615,1,1.58451509475708,1
2615,0,1.5898239612579346,0
2615,2,1.694662094116211,0
3297,1,1.675302267074585,1
3297,0,1.72455894947052,0
3297,2,1.7958024740219116,0
369,1,1.884995698928833,1
369,0,1.940370798110962,0
369,2,2.095409631729126,0
443,2,2.07507586479187,1
443,0,2.041114330291748,0
443,1,1.8849705457687378,0
1637,0,1.8600208759307861,1
1637,1,1.8349883556365967,0
1637,2,1.9561129808425903,0
3840,2,1.8810653686523438,1
3840,1,1.7082186937332153,0
3840,0,1.7392114400863647,0
2720,1,1.699029803276062,1
2720,0,1.7734763622283936,0
2720,2,1.852210521697998,0
2776,2,1.8071274757385254,1
2776,0,1.7915172576904297,0
2776,1,1.7147399187088013,0
145,0,1.8998051881790161,1
145,2,2.01200270652771,0
145,1,1.925525426864624,0
999,2,1.8046520948410034,1
999,0,1.6845877170562744,0
999,1,1.7304552793502808,0
1975,2,1.970628261566162,1
1975,1,1.8809435367584229,0
1975,0,1.8275717496871948,0
30,0,1.7034398317337036,1
30,2,1.7692855596542358,0
30,1,1.6337428092956543,0
144,0,1.7430874109268188,1
144,1,1.6653356552124023,0
144,2,1.7766660451889038,0
3119,1,1.724987506866455,1
3119,0,1.7563886642456055,0
3119,2,1.844727635383606,0
3975,1,1.874114990234375,1
3975,2,2.0236358642578125,0
3975,0,1.9566409587860107,0
2340,2,1.9922025203704834,1
2340,0,1.8565194606781006,0
2340,1,1.8758742809295654,0
1919,1,1.6876240968704224,1
1919,0,1.656652569770813,0
1919,2,1.7897216081619263,0
2412,0,1.9230672121047974,1
2412,1,1.798095941543579,0
2412,2,1.979457139968872,0
2100,1,1.9879727363586426,1
2100,0,1.9901422262191772,0
2100,2,2.099426746368408,0
3571,2,2.0156641006469727,1
3571,0,1.885528802871704,0
3571,1,1.8865482807159424,0
933,0,1.6484519243240356,1
933,1,1.5446103811264038,0
933,2,1.7139973640441895,0
3475,2,2.002110481262207,1
3475,1,1.8634161949157715,0
3475,0,1.8823282718658447,0
