task,variant,metric,mean,std,n_seeds
md,v1,auc,0.5093263505912282,0.0010659928789248665,3
md,v1,ap,0.07972829997699109,0.0011749041336425535,3
md,v1,precision,0.05000000000000001,6.938893903907228e-18,3
md,v1,recall,1.0,0.0,3
md,v1,f1,0.09523809523809523,0.0,3
md,v1,accuracy,0.05000000000000001,6.938893903907228e-18,3
md,v1,mrr,0.26560810966733683,0.0016321677169627987,3
md,v1,hits@1,0.12799043062200954,0.0042572082344622415,3
md,v1,hits@3,0.2874800637958533,0.004066203758845917,3
md,v1,hits@5,0.38716108452950554,0.0020331018794229492,3
md,v1,train_time_s,43.5909112294515,1.4020554387087925,3
md,v1,best_val_loss,0.7166509826978048,0.0063074287032122145,3
md,v1,best_epoch,4.666666666666667,0.4714045207910317,3
