task,variant,metric,mean,std,n_seeds
mg,v3,auc,0.49852910876582485,0.03035075130405969,3
mg,v3,ap,0.3338934348594978,0.018521958297123622,3
mg,v3,precision,0.3333333333333333,0.0,3
mg,v3,recall,1.0,0.0,3
mg,v3,f1,0.5,0.0,3
mg,v3,accuracy,0.3333333333333333,0.0,3
mg,v3,mrr,0.6200824029771398,0.03144503942509332,3
mg,v3,hits@1,0.34489633173843703,0.04974632248580086,3
mg,v3,hits@3,1.0,0.0,3
mg,v3,hits@5,1.0,0.0,3
mg,v3,train_time_s,18.95950722694397,0.4514571654286782,3
mg,v3,best_val_loss,0.7017942667007446,0.02810881637740232,3
mg,v3,best_epoch,2.3333333333333335,0.4714045207910317,3
