super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,mean_val_macro_f1,best_mean_val_macro_f1,cycle_seconds,train_loss_v1,val_loss_v1,val_macro_f1_v1,val_accuracy_v1,train_loss_v2,val_loss_v2,val_macro_f1_v2,val_accuracy_v2,train_loss_v3,val_loss_v3,val_macro_f1_v3,val_accuracy_v3,train_loss_v4,val_loss_v4,val_macro_f1_v4,val_accuracy_v4
1,"v4,v3,v2,v1",4,4,4,4,1.0797563791275024,1.0892069637775421,0.18772636234156376,0.18772636234156376,0.190008097095415,1.0617917776107788,1.095282793045044,0.18531833374093098,0.361244019138756,1.075763463973999,1.0842700004577637,0.1901343909421965,0.36363636363636365,1.0849624872207642,1.087666392326355,0.18531833374093098,0.361244019138756,1.0965077877044678,1.0896086692810059,0.1901343909421965,0.36363636363636365
2,"v2,v4,v1,v3",8,8,8,8,0.9389989823102951,0.9646679759025574,0.4395781723451446,0.4395781723451446,0.17212972114793956,0.8857492804527283,0.9891919493675232,0.46067123799988435,0.5167464114832536,1.0376955270767212,0.9550153613090515,0.4174868497315267,0.48564593301435405,0.8475136756896973,0.9553614854812622,0.44561710849098457,0.5143540669856459,0.9850374460220337,0.9591031074523926,0.43453749315818285,0.5
3,"v4,v2,v3,v1",12,12,12,12,0.5718085467815399,1.6676730513572693,0.6388930783793656,0.6388930783793656,0.172268683090806,0.474183052778244,2.8158607482910156,0.633158048884518,0.6363636363636364,0.6441932320594788,1.0953058004379272,0.6411094098150366,0.638755980861244,0.46105560660362244,1.2372492551803589,0.6473835896090505,0.645933014354067,0.7078022956848145,1.5222764015197754,0.633921265208857,0.6339712918660287
4,"v1,v3,v4,v2",16,16,16,16,0.385661818087101,1.4050360918045044,0.6030155457131389,0.6388930783793656,0.16023798193782568,0.44955700635910034,1.885875940322876,0.6044187799770818,0.6076555023923444,0.29080650210380554,1.1137444972991943,0.6029973426526558,0.6052631578947368,0.38643550872802734,1.2191312313079834,0.6024490722404044,0.6052631578947368,0.4158482551574707,1.4013926982879639,0.6021969879824134,0.6052631578947368
5,"v4,v1,v2,v3",20,20,20,20,0.1996626816689968,1.7179766297340393,0.6167903352869675,0.6388930783793656,0.15553979598917067,0.16215012967586517,2.174821138381958,0.6208976606886023,0.6196172248803827,0.24640050530433655,1.4239580631256104,0.6142566583743054,0.6124401913875598,0.1986093372106552,1.5383210182189941,0.6154733566913619,0.6148325358851675,0.1914907544851303,1.7348062992095947,0.6165336653936002,0.6148325358851675
6,"v4,v2,v1,v3",24,24,24,24,0.12171786092221737,2.0440922379493713,0.6034873866177122,0.6388930783793656,0.15561774093657732,0.10841761529445648,2.6452596187591553,0.5937556487881065,0.5909090909090909,0.1458994448184967,1.6409014463424683,0.6081504028832686,0.6052631578947368,0.09541977196931839,1.813677191734314,0.6108299615610178,0.6076555023923444,0.1371346116065979,2.076530694961548,0.6012135332384559,0.5980861244019139
7,"v4,v1,v2,v3",28,28,28,28,0.07378148473799229,2.5528188943862915,0.6112953483418226,0.6388930783793656,0.1574773269239813,0.07129791378974915,3.3148882389068604,0.6110085488805014,0.6124401913875598,0.07787896692752838,2.0377063751220703,0.6091473708802227,0.6100478468899522,0.06628532707691193,2.261842966079712,0.6113752913752913,0.6124401913875598,0.0796637311577797,2.5968379974365234,0.6136501822312753,0.6148325358851675
8,"v3,v4,v2,v1",32,32,32,32,0.05266037583351135,3.029174268245697,0.6127917166227419,0.6388930783793656,0.15576952183619142,0.04279894754290581,3.9478535652160645,0.6189276057557902,0.6196172248803827,0.053675081580877304,2.4087986946105957,0.611182759292177,0.6100478468899522,0.06176068261265755,2.6808454990386963,0.6107909601541311,0.6100478468899522,0.05240679159760475,3.0791993141174316,0.6102655412888692,0.6100478468899522
9,"v3,v4,v2,v1",36,36,36,36,0.03669082187116146,3.4848453402519226,0.6077416004210606,0.6388930783793656,0.15657010418362916,0.032049186527729034,4.559257507324219,0.6179530346197013,0.6172248803827751,0.04129169508814812,2.758801221847534,0.5999182843039157,0.5980861244019139,0.03901434689760208,3.0758485794067383,0.6020708389005608,0.6004784688995215,0.03440805897116661,3.545474052429199,0.6110242438600647,0.6100478468899522
10,"v1,v4,v2,v3",40,40,40,40,0.030806396156549454,3.958284616470337,0.6064116527145054,0.6388930783793656,0.15647066198289394,0.030405454337596893,5.255645751953125,0.614862039241792,0.6148325358851675,0.03590327501296997,3.0912926197052,0.6017187977140862,0.6004784688995215,0.02750326879322529,3.4622766971588135,0.6033946700360937,0.6028708133971292,0.029413586482405663,4.023923397064209,0.6056711038660497,0.6052631578947368
11,"v4,v3,v2,v1",44,44,44,44,0.02595442859455943,4.481371879577637,0.5998643024043807,0.6388930783793656,0.1605195391457528,0.02419799193739891,6.066617488861084,0.601579199930201,0.6028708133971292,0.029360132291913033,3.4374797344207764,0.6002430590060557,0.6004784688995215,0.02496475540101528,3.874610662460327,0.6002687322903127,0.6004784688995215,0.0252948347479105,4.546779632568359,0.5973662183909534,0.5980861244019139
12,"v4,v2,v3,v1",48,48,48,48,0.02316890051588416,4.949490427970886,0.5947267240658902,0.6388930783793656,0.1570857660844922,0.020678291097283363,6.794766426086426,0.5947328682311014,0.5956937799043063,0.027132049202919006,3.7450780868530273,0.5957361463160679,0.5956937799043063,0.021587932482361794,4.242713451385498,0.5909226685784025,0.5909090909090909,0.02327732928097248,5.015403747558594,0.5975152131379889,0.5980861244019139
13,"v2,v1,v3,v4",52,52,52,52,0.021100984420627356,5.371499538421631,0.5959733080439796,0.6388930783793656,0.15679171192459762,0.019112741574645042,7.469639301300049,0.592351915850149,0.5933014354066986,0.027030689641833305,4.008087158203125,0.5958111011608253,0.5956937799043063,0.0194208025932312,4.5734758377075195,0.5932139009426604,0.5933014354066986,0.018839703872799873,5.43479585647583,0.6025163142222838,0.6028708133971292
14,"v2,v3,v1,v4",56,56,56,56,0.019212452694773674,5.819675326347351,0.5919426053757341,0.6388930783793656,0.15712342015467584,0.015818526968359947,8.225605964660645,0.5928465129176873,0.5933014354066986,0.02528575249016285,4.262920379638672,0.586109190840737,0.5861244019138756,0.018110595643520355,4.913995265960693,0.5908133708087293,0.5909090909090909,0.017634935677051544,5.8761796951293945,0.5980013469357827,0.5980861244019139
15,"v1,v3,v2,v4",60,60,60,60,0.01730806357227266,6.318228840827942,0.58738633424047,0.6388930783793656,0.15505783003754914,0.013896515592932701,9.113627433776855,0.5858306385525843,0.5861244019138756,0.024326061829924583,4.5146708488464355,0.5790824808824504,0.5789473684210527,0.016208793967962265,5.2827677726745605,0.5888411453819827,0.5885167464114832,0.014800882898271084,6.361849308013916,0.5957910721448627,0.5956937799043063
16,"v4,v1,v2,v3",64,64,64,64,0.015300812432542443,6.914064526557922,0.5899874116792914,0.6388930783793656,0.15469314390793443,0.010481134057044983,10.253031730651855,0.5947734529992713,0.5956937799043063,0.024535225704312325,4.781848907470703,0.5812040497846266,0.5813397129186603,0.012205573730170727,5.701071262359619,0.5884732570345905,0.5885167464114832,0.013981316238641739,6.920306205749512,0.5954988868986772,0.5956937799043063
17,"v4,v2,v1,v3",68,68,68,68,0.012660550535656512,7.640567421913147,0.5890805319193841,0.6388930783793656,0.15843420987948775,0.006842800881713629,11.703137397766113,0.5955244755244756,0.5956937799043063,0.024455295875668526,5.084547519683838,0.5788936517656665,0.5789473684210527,0.008518904447555542,6.1842427253723145,0.588692548043893,0.5885167464114832,0.01082520093768835,7.590342044830322,0.5932114523435015,0.5933014354066986
