super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v3,val_loss_v3
1,"v3,v1",2,2,2,2,0.618799239397049,1.5360569953918457,1.5360569953918457,0.08308544382452965,0.5588048696517944,1.6816091537475586,0.6787936091423035,1.3905048370361328
2,"v1,v3",4,4,4,4,0.7484618127346039,0.681907445192337,0.681907445192337,0.07371347583830357,0.9475926160812378,0.6834885478019714,0.54933100938797,0.6803263425827026
3,"v1,v3",6,6,6,6,0.591350257396698,0.6789768040180206,0.6789768040180206,0.0726846328470856,0.5691498517990112,0.6784820556640625,0.6135506629943848,0.6794715523719788
4,"v3,v1",8,8,8,8,0.6241819262504578,0.6813033223152161,0.6789768040180206,0.05316727492026985,0.6208690404891968,0.6811047196388245,0.6274948120117188,0.6815019249916077
5,"v3,v1",10,10,10,10,0.6028115153312683,0.7025110125541687,0.6789768040180206,0.0544532360509038,0.5877870917320251,0.7058405876159668,0.6178359389305115,0.6991814374923706
6,"v3,v1",12,12,12,12,0.539176732301712,0.9383463561534882,0.6789768040180206,0.05402081087231636,0.5161643028259277,0.9710062742233276,0.5621891617774963,0.9056864380836487
7,"v3,v1",14,14,14,14,0.5248459279537201,1.2143285274505615,0.6789768040180206,0.05315403686836362,0.5455523729324341,1.272552490234375,0.5041394829750061,1.156104564666748
8,"v3,v1",16,16,16,16,0.4867159128189087,1.0620386004447937,0.6789768040180206,0.052550473948940635,0.4788650870323181,1.1008955240249634,0.49456673860549927,1.023181676864624
9,"v1,v3",18,18,18,18,0.45555396378040314,1.081628680229187,0.6789768040180206,0.05267097405157983,0.45733922719955444,1.1213562488555908,0.45376870036125183,1.0419011116027832
10,"v1,v3",20,20,20,20,0.43580467998981476,1.3807699084281921,0.6789768040180206,0.05234615784138441,0.43837136030197144,1.4514236450195312,0.4332379996776581,1.310116171836853
11,"v1,v3",22,22,22,22,0.3937167525291443,1.6923432350158691,0.6789768040180206,0.05475257313810289,0.403446763753891,1.7919608354568481,0.3839867413043976,1.5927256345748901
12,"v1,v3",24,24,24,24,0.3420381247997284,1.9165688157081604,0.6789768040180206,0.05314106005243957,0.35106953978538513,2.040654182434082,0.33300670981407166,1.7924834489822388
13,"v3,v1",26,26,26,26,0.32186609506607056,2.023577332496643,0.6789768040180206,0.052552717039361596,0.32435739040374756,2.160435199737549,0.31937479972839355,1.8867194652557373
14,"v1,v3",28,28,28,28,0.2981845885515213,1.9441891312599182,0.6789768040180206,0.05226886598393321,0.30738145112991333,2.069511890411377,0.2889877259731293,1.8188663721084595
15,"v1,v3",30,30,30,30,0.2773272842168808,1.702214241027832,0.6789768040180206,0.05309344013221562,0.2776998281478882,1.810159683227539,0.2769547402858734,1.594268798828125
16,"v3,v1",32,32,32,32,0.26366882026195526,1.5396168231964111,0.6789768040180206,0.05263705598190427,0.2585158050060272,1.636338472366333,0.2688218355178833,1.4428951740264893
17,"v3,v1",34,34,34,34,0.25202636420726776,1.5693041682243347,0.6789768040180206,0.05198086006566882,0.2487022578716278,1.6670554876327515,0.2553504705429077,1.471552848815918
18,"v3,v1",36,36,36,36,0.24351593106985092,1.6203369498252869,0.6789768040180206,0.052767768036574125,0.24167349934577942,1.7204654216766357,0.24535836279392242,1.520208477973938
