query_row,movie_local,rank_of_positive,candidate_position,candidate_id,director_local,raw_score,score,label
0,2852,4,0,0,1159,0.9329171776771545,0.717666745185852,1
0,2852,4,1,1,2075,0.5178646445274353,0.6266483664512634,0
0,2852,4,2,2,1817,0.5425007939338684,0.6323939561843872,0
0,2852,4,3,3,1652,0.7200417518615723,0.672616183757782,0
0,2852,4,4,4,1600,0.7260639667510986,0.6739409565925598,0
0,2852,4,5,5,726,0.7429260015487671,0.6776353716850281,0
0,2852,4,6,6,1774,0.722610354423523,0.6731815934181213,0
0,2852,4,7,7,1918,0.9574851989746094,0.7226179838180542,0
0,2852,4,8,8,621,1.0879091024398804,0.7479877471923828,0
0,2852,4,9,9,124,0.5059805512428284,0.6238637566566467,0
0,2852,4,10,10,1849,0.7268163561820984,0.674106240272522,0
0,2852,4,11,11,356,0.5385266542434692,0.6314696073532104,0
0,2852,4,12,12,1309,0.5419614911079407,0.6322685480117798,0
0,2852,4,13,13,1779,0.7294502258300781,0.6746845841407776,0
0,2852,4,14,14,1804,0.7359563708305359,0.6761109828948975,0
0,2852,4,15,15,858,0.7094759941101074,0.6702853441238403,0
0,2852,4,16,16,1488,0.5448987483978271,0.6329512596130371,0
0,2852,4,17,17,540,0.9266394376754761,0.716392993927002,0
0,2852,4,18,18,1516,1.4155209064483643,0.8046352863311768,0
0,2852,4,19,19,1807,0.7226859331130981,0.6731981635093689,0
1,1674,1,0,20,149,2.158402442932129,0.8964513540267944,1
1,1674,1,1,21,1893,0.7593256235122681,0.6812072992324829,0
1,1674,1,2,22,1080,0.7509649395942688,0.6793889403343201,0
1,1674,1,3,23,893,0.5486247539520264,0.6338164806365967,0
1,1674,1,4,24,491,0.5575543642044067,0.6358864903450012,0
1,1674,1,5,25,373,0.9408572912216187,0.719272792339325,0
1,1674,1,6,26,214,0.5239714980125427,0.6280759572982788,0
1,1674,1,7,27,426,1.4405925273895264,0.8085463643074036,0
1,1674,1,8,28,945,0.5341559648513794,0.6304519176483154,0
1,1674,1,9,29,363,0.5433684587478638,0.6325956583023071,0
1,1674,1,10,30,870,0.5335147380828857,0.6303025484085083,0
1,1674,1,11,31,1296,0.545691967010498,0.6331354975700378,0
1,1674,1,12,32,1200,0.7797707319259644,0.6856306791305542,0
1,1674,1,13,33,743,0.9197916984558105,0.7149996757507324,0
1,1674,1,14,34,2015,0.5489152669906616,0.6338838934898376,0
1,1674,1,15,35,1203,0.9186009168624878,0.714756965637207,0
