super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,updates_per_super_epoch,mean_train_loss,validation_check,validation_checks_cumulative,mean_val_filtered_MRR,best_mean_val_filtered_MRR,cycle_seconds,batches_no_changes,train_loss_no_changes,val_filtered_MRR_no_changes,val_Hits@1_no_changes,val_Hits@3_no_changes,val_Hits@10_no_changes,val_binary_AUC_no_changes,val_binary_AP_no_changes,val_binary_Precision_no_changes,val_binary_Recall_no_changes,val_binary_F1_no_changes,val_binary_Accuracy_no_changes,batches_all_inverse_edges,train_loss_all_inverse_edges,val_filtered_MRR_all_inverse_edges,val_Hits@1_all_inverse_edges,val_Hits@3_all_inverse_edges,val_Hits@10_all_inverse_edges,val_binary_AUC_all_inverse_edges,val_binary_AP_all_inverse_edges,val_binary_Precision_all_inverse_edges,val_binary_Recall_all_inverse_edges,val_binary_F1_all_inverse_edges,val_binary_Accuracy_all_inverse_edges,batches_universal_edges,train_loss_universal_edges,val_filtered_MRR_universal_edges,val_Hits@1_universal_edges,val_Hits@3_universal_edges,val_Hits@10_universal_edges,val_binary_AUC_universal_edges,val_binary_AP_universal_edges,val_binary_Precision_universal_edges,val_binary_Recall_universal_edges,val_binary_F1_universal_edges,val_binary_Accuracy_universal_edges
1,"all_inverse_edges,no_changes,universal_edges",3,19,19,4.434168924414922,1,1,0.006480769840380052,0.006480769840380052,13.562785228947178,2,1.3822775483131409,0.007961233970439161,0.0021423862887277522,0.007580751483190508,0.018292682926829267,0.6252628776742079,0.04429277288974577,0.025952539694298345,0.6928147659854977,0.05003094206693007,0.48412113691884134,3,1.3860199054082234,0.007961233970439161,0.0021423862887277522,0.007580751483190508,0.018292682926829267,0.6252628776742079,0.04429277288974577,0.025952539694298345,0.6928147659854977,0.05003094206693007,0.48412113691884134,14,10.534209319523402,0.0035198415802618357,0.0013183915622940012,0.002966381015161503,0.007910349373764008,0.6001522603201944,0.03578101308503583,0.020008285639758795,0.8595912986156888,0.03910631279052332,0.17171403828505694
2,"all_inverse_edges,no_changes,universal_edges",6,38,19,1.46407284339269,1,2,0.007218563720494224,0.007218563720494224,13.49581606197171,2,1.3851882219314575,0.00843510067217953,0.0021423862887277522,0.008075148319050759,0.01895187870797627,0.6730193752284046,0.050247892306342246,0.021716442766736982,0.9670402109426499,0.042478952359579845,0.14517171403828505,3,1.38539719581604,0.00843510067217953,0.0021423862887277522,0.008075148319050759,0.01895187870797627,0.6730193752284046,0.050247892306342246,0.021716442766736982,0.9670402109426499,0.042478952359579845,0.14517171403828505,14,1.6216331124305725,0.004785489817123613,0.001977587343441002,0.003790375741595254,0.00988793671720501,0.6544404266478483,0.04468617007275459,0.01972650263780837,0.9970336189848384,0.03868756434605227,0.028455284552845527
3,"universal_edges,no_changes,all_inverse_edges",9,57,19,1.3831207175103446,1,3,0.006424343915959607,0.007218563720494224,13.399401078000665,2,1.3851922750473022,0.007265307089987781,0.0021423862887277522,0.008239947264337508,0.015820698747528016,0.5790287758295459,0.05554196026630173,0.023823729377974497,0.5659195781147001,0.045722654949737034,0.5368115604844442,3,1.385564963022868,0.007265307089987781,0.0021423862887277522,0.008239947264337508,0.015820698747528016,0.5790287758295459,0.05554196026630173,0.023823729377974497,0.5659195781147001,0.045722654949737034,0.5368115604844442,14,1.3786049144608634,0.0047424175679032605,0.0026367831245880024,0.003790375741595254,0.00873434410019776,0.6866734958103915,0.047873799757554056,0.029242424242424243,0.7633487145682267,0.05632706666342389,0.4984812646218672
4,"all_inverse_edges,no_changes,universal_edges",12,76,19,1.3615947952346197,1,4,0.0068968420090761194,0.007218563720494224,13.520339674083516,2,1.381724774837494,0.00799313477566044,0.0021423862887277522,0.0077455504284772575,0.01812788398154252,0.598415532555885,0.036948462805766906,0.02544756610079751,0.5069215557020436,0.04846231409125284,0.6096785451161348,3,1.384499470392863,0.00799313477566044,0.0021423862887277522,0.0077455504284772575,0.01812788398154252,0.598415532555885,0.036948462805766906,0.02544756610079751,0.5069215557020436,0.04846231409125284,0.6096785451161348,14,1.3185601404735021,0.004704256475907481,0.001977587343441002,0.004119973632168754,0.00988793671720501,0.7105191623042565,0.05775701604008386,0.03115287210774721,0.7135794330916282,0.05969943471666896,0.5592436051546525
5,"universal_edges,all_inverse_edges,no_changes",15,95,19,1.351445237795512,1,5,0.0054443030141760095,0.007218563720494224,13.358748357975855,2,1.386292576789856,0.006632813555454942,0.0021423862887277522,0.0021423862887277522,0.014667106130520765,0.6094034180409327,0.040493140563809746,0.06442848825926645,0.1094264996704021,0.08110418956882863,0.9513810797885404,3,1.393280267715454,0.006632813555454942,0.0021423862887277522,0.0021423862887277522,0.014667106130520765,0.6094034180409327,0.040493140563809746,0.06442848825926645,0.1094264996704021,0.08110418956882863,0.9513810797885404,14,1.2747628688812256,0.0030672819316181444,0.000988793671720501,0.0026367831245880024,0.0054383651944627555,0.690422800004693,0.049499212649215536,0.03985577860066264,0.5392221489782465,0.07422530738169775,0.7362570605038323
6,"all_inverse_edges,universal_edges,no_changes",18,114,19,1.3316542014243111,1,6,0.006738320873223385,0.007218563720494224,13.355790244881064,2,1.3764645457267761,0.00819277033423567,0.0023071852340145024,0.006756756756756757,0.01812788398154252,0.6242565362281747,0.046871731931509585,0.0741241918508495,0.16249176005273566,0.10180691791430047,0.9437809401941396,3,1.383578936258952,0.00819277033423567,0.0023071852340145024,0.006756756756756757,0.01812788398154252,0.6242565362281747,0.046871731931509585,0.0741241918508495,0.16249176005273566,0.10180691791430047,0.9437809401941396,14,1.2349191222872054,0.0038294219511988132,0.0006591957811470006,0.0036255767963085037,0.008899143045484509,0.6985470925207569,0.0578803340543422,0.032472133413980815,0.6193144363876071,0.06170873084943924,0.6307146457792082
7,"universal_edges,no_changes,all_inverse_edges",21,133,19,1.3257481673407179,1,7,0.006365746465914286,0.007218563720494224,13.330037118168548,2,1.3906887769699097,0.008071439097320714,0.0023071852340145024,0.006756756756756757,0.017303889255108767,0.609327421501602,0.03759561378849374,0.02550370466658001,0.32333553065260384,0.047278247668618524,0.7444840823606964,3,1.402173678080241,0.008071439097320714,0.0023071852340145024,0.006756756756756757,0.017303889255108767,0.609327421501602,0.03759561378849374,0.02550370466658001,0.32333553065260384,0.047278247668618524,0.7444840823606964,14,1.1843820469720023,0.00295436120310143,0.0003295978905735003,0.0028015820698747526,0.0077455504284772575,0.7002505226418759,0.05098789991396835,0.029942098533067053,0.6868820039551747,0.057382804433124525,0.5575180632569442
8,"universal_edges,no_changes,all_inverse_edges",24,152,19,1.312238675261301,1,8,0.005980745894762739,0.007218563720494224,13.227849729824811,2,1.388744592666626,0.007736316387697979,0.0023071852340145024,0.006756756756756757,0.01796308503625577,0.5944109138400262,0.05159623969516873,0.0677695834163843,0.22412656558998023,0.10407101316192226,0.9243346646503031,3,1.3983978430430095,0.007736316387697979,0.0023071852340145024,0.006756756756756757,0.01796308503625577,0.5944109138400262,0.05159623969516873,0.0677695834163843,0.22412656558998023,0.10407101316192226,0.9243346646503031,14,1.1495735900742667,0.0024696049088922594,0.0004943968358602505,0.0011535926170072512,0.005767963085036256,0.686987504611546,0.05076784676124685,0.028093956953642384,0.7158866183256427,0.054066163841386,0.5088215906006437
9,"no_changes,universal_edges,all_inverse_edges",27,171,19,1.3004130096662612,1,9,0.006095663150240342,0.007218563720494224,13.082739090081304,2,1.3836742639541626,0.007815765483448898,0.0023071852340145024,0.006756756756756757,0.017798286090969017,0.6305976943791067,0.04688312468474416,0.025375338419886782,0.33981542518127883,0.04722425796995236,0.731138599144338,3,1.3921797275543213,0.007815765483448898,0.0023071852340145024,0.006756756756756757,0.017798286090969017,0.6305976943791067,0.04688312468474416,0.025375338419886782,0.33981542518127883,0.04722425796995236,0.731138599144338,14,1.1253850374902998,0.0026554584838232296,0.0004943968358602505,0.000988793671720501,0.0065919578114700065,0.6989711277027788,0.050852029819862386,0.02936750107004294,0.7010547132498351,0.05637349094234108,0.5398102550182895
10,"universal_edges,all_inverse_edges,no_changes",30,190,19,1.292945875061883,1,10,0.006475960027623369,0.007218563720494224,13.240871263900772,2,1.370357632637024,0.00847520845947223,0.0023071852340145024,0.00955833882663151,0.016644693473961768,0.6189265852746004,0.05707667821103267,0.07048204340311119,0.24192485168094924,0.10916121356335515,0.922576809233911,3,1.4013387362162273,0.00847520845947223,0.0023071852340145024,0.00955833882663151,0.016644693473961768,0.6189265852746004,0.05707667821103267,0.07048204340311119,0.24192485168094924,0.10916121356335515,0.922576809233911,14,1.1071412563323975,0.002477463163925647,0.0004943968358602505,0.0011535926170072512,0.005603164139749505,0.6882488357611756,0.04884988983490156,0.026735487553964536,0.7409360580092288,0.05160875604072684,0.46604495456719275
