task,variant,metric,mean,std,n_seeds
pc,universal,auc,0.6130665499872007,0.09542052105279568,3
pc,universal,ap,0.4070767321757292,0.10359754922140746,3
pc,universal,precision,0.28349669217611756,0.055664984595069425,3
pc,universal,recall,0.6437543614794138,0.06672343202523116,3
pc,universal,f1,0.3924879645028821,0.06393400434396587,3
pc,universal,accuracy,0.4933705512909979,0.08470898807407447,3
pc,universal,mrr,0.6304276188260837,0.07641278125873904,3
pc,universal,hits@1,0.4233542684345197,0.10500155985134724,3
pc,universal,hits@3,0.7875087229588277,0.07670333351299911,3
pc,universal,train_time_s,3.522822000008697,2.5314728886688127,3
pc,universal,eval_time_s,0.10439339000731707,0.061447531100598037,3
pc,universal,elapsed_time_s,3.8398057773398855,2.4117776162648448,3
pc,universal,time_to_best_s,3.032653708321353,2.531517416270952,3
pc,universal,best_val_loss,4.1767812967300415,3.5223724372913923,3
pc,universal,best_epoch,29.666666666666668,26.71246067953223,3
pc,universal,epochs_trained,34.666666666666664,26.71246067953223,3
