movie_local,target_local,score,label
2852,2,6.040010452270508,1
2852,1,6.347814559936523,0
2852,0,6.640838146209717,0
1674,2,5.836915493011475,1
1674,0,6.723476886749268,0
1674,1,6.295745849609375,0
2613,2,4.509981155395508,1
2613,0,5.691658020019531,0
2613,1,5.158698558807373,0
2715,0,5.846332550048828,1
2715,2,5.036048889160156,0
2715,1,5.357301712036133,0
2019,2,4.891605377197266,1
2019,0,5.485805511474609,0
2019,1,5.128309726715088,0
141,0,6.723772048950195,1
141,2,6.149168491363525,0
141,1,6.305475234985352,0
1550,0,7.296032428741455,1
1550,1,6.660508155822754,0
1550,2,6.030702590942383,0
621,1,5.3765363693237305,1
621,0,5.881181240081787,0
621,2,5.144545555114746,0
1076,1,4.8805718421936035,1
1076,2,4.820046424865723,0
1076,0,5.170821666717529,0
2045,1,5.114587306976318,1
2045,2,4.994601249694824,0
2045,0,5.671363353729248,0
2494,1,6.499900817871094,1
2494,2,6.370877265930176,0
2494,0,7.052197456359863,0
1056,0,6.141833305358887,1
1056,2,5.4583587646484375,0
1056,1,5.414962291717529,0
2615,1,5.330114841461182,1
2615,0,5.828575611114502,0
2615,2,5.242210388183594,0
3297,1,4.911251544952393,1
3297,0,5.147186756134033,0
3297,2,4.806325435638428,0
369,1,5.993910312652588,1
369,0,6.807465553283691,0
369,2,5.343226432800293,0
443,2,5.343720436096191,1
443,0,5.70130729675293,0
443,1,5.449159145355225,0
1637,0,6.367366790771484,1
1637,1,5.8374738693237305,0
1637,2,5.651336193084717,0
3840,2,5.097614288330078,1
3840,1,5.159400463104248,0
3840,0,5.625003337860107,0
2720,1,7.353237152099609,1
2720,0,7.747076034545898,0
2720,2,6.409334659576416,0
2776,2,4.804754257202148,1
2776,0,5.537208080291748,0
2776,1,5.004471302032471,0
145,0,6.8366899490356445,1
145,2,6.017395496368408,0
145,1,6.305952548980713,0
999,2,4.799800872802734,1
999,0,5.3220295906066895,0
999,1,4.8169355392456055,0
1975,2,6.8050079345703125,1
1975,1,7.153940200805664,0
