task,variant,metric,mean,std,n_seeds
mg,v4,auc,0.49643509191639384,0.02985476037394172,3
mg,v4,ap,0.34109283414705766,0.018205350307999357,3
mg,v4,precision,0.219987028429359,0.1560665761160159,3
mg,v4,recall,0.21850079744816586,0.29308308575997116,3
mg,v4,f1,0.15427448372466465,0.18882432498373386,3
mg,v4,accuracy,0.5812068048910155,0.11552743134791275,3
mg,v4,mrr,0.6120414673046252,0.020541708554058683,3
mg,v4,hits@1,0.3329346092503987,0.03157733632093036,3
mg,v4,hits@3,1.0,0.0,3
mg,v4,hits@5,1.0,0.0,3
mg,v4,train_time_s,0.5782118463345493,0.22769731554597963,3
mg,v4,eval_time_s,0.0037356787361204624,5.370681454485933e-06,3
mg,v4,elapsed_time_s,0.7057963609695435,0.3564559986384017,3
mg,v4,time_to_best_s,0.3372817103518173,0.2274847035554744,3
mg,v4,best_val_loss,5.5699343880017596,3.6843461850045234,3
mg,v4,best_epoch,14.0,4.898979485566356,3
mg,v4,epochs_trained,29.0,4.898979485566356,3
