task,variant,metric,mean,std,n_seeds
ml,v1,auc,0.457292556541304,0.010114316781775738,3
ml,v1,ap,0.04632595678974944,0.0025409850443843356,3
ml,v1,precision,0.05000000000000001,6.938893903907228e-18,3
ml,v1,recall,1.0,0.0,3
ml,v1,f1,0.09523809523809523,0.0,3
ml,v1,accuracy,0.05000000000000001,6.938893903907228e-18,3
ml,v1,mrr,0.14548347935214298,0.012008534664615942,3
ml,v1,hits@1,0.028309409888357256,0.009074805962313432,3
ml,v1,hits@3,0.10725677830940988,0.01791154501213413,3
ml,v1,hits@5,0.18301435406698566,0.02087883167717073,3
ml,v1,train_time_s,0.31878217166134465,0.15201929683711443,3
ml,v1,eval_time_s,0.002877071344604095,3.1956595254301163e-06,3
ml,v1,elapsed_time_s,0.45972381602041423,0.2912757863884673,3
ml,v1,time_to_best_s,0.12110259065714975,0.15182857425532312,3
ml,v1,best_val_loss,0.6935837864875793,0.00013068259124701323,3
ml,v1,best_epoch,1.0,0.0,3
