movie_local,target_local,score,label
2852,2,-1.45062255859375,1
2852,1,-4.618578910827637,0
2852,0,-3.8348684310913086,0
1674,2,-4.020468711853027,1
1674,0,-6.585792541503906,0
1674,1,-7.455448150634766,0
2613,2,-2.192007064819336,1
2613,0,-6.079355239868164,0
2613,1,-5.246599197387695,0
2715,0,-7.181107997894287,1
2715,2,-3.836498260498047,0
2715,1,-6.891122817993164,0
2019,2,-0.83203125,1
2019,0,-4.457370758056641,0
2019,1,-3.45082950592041,0
141,0,-5.402702331542969,1
141,2,-2.3602733612060547,0
141,1,-5.405341148376465,0
1550,0,-4.352431297302246,1
1550,1,-5.511165618896484,0
1550,2,-2.1542739868164062,0
621,1,-3.3937768936157227,1
621,0,-4.29884147644043,0
621,2,-0.6246109008789062,0
1076,1,-3.0805177688598633,1
1076,2,-0.431365966796875,0
1076,0,-4.606874465942383,0
2045,1,-6.173622131347656,1
2045,2,-3.305990219116211,0
2045,0,-6.135883331298828,0
2494,1,-12.00371265411377,1
2494,2,-8.050911903381348,0
2494,0,-8.13145923614502,0
1056,0,-4.835240364074707,1
1056,2,-1.2808418273925781,0
1056,1,-4.140657424926758,0
2615,1,-2.8724794387817383,1
2615,0,-4.472099304199219,0
2615,2,-0.06522941589355469,0
3297,1,0.22870445251464844,1
3297,0,-2.281099319458008,0
3297,2,2.716581344604492,0
369,1,1.1440801620483398,1
369,0,-0.6763830184936523,0
369,2,3.511812210083008,0
443,2,-0.09146881103515625,1
443,0,-3.1749048233032227,0
443,1,-2.8584022521972656,0
1637,0,-6.850410461425781,1
1637,1,-8.578680992126465,0
1637,2,-5.280765533447266,0
3840,2,2.04367733001709,1
3840,1,-0.5925197601318359,0
3840,0,-2.482842445373535,0
2720,1,-10.475198745727539,1
2720,0,-7.856082916259766,0
2720,2,-6.731536865234375,0
2776,2,1.1415910720825195,1
2776,0,-3.8071603775024414,0
2776,1,-1.2910661697387695,0
145,0,-6.534601211547852,1
145,2,-5.070005416870117,0
145,1,-8.613759994506836,0
999,2,-2.632455825805664,1
999,0,-6.0561113357543945,0
999,1,-5.64547061920166,0
1975,2,-0.9840354919433594,1
1975,1,-4.1303911209106445,0
1975,0,-3.337320327758789,0
30,0,-4.47475528717041,1
30,2,-2.8892974853515625,0
30,1,-6.194326400756836,0
144,0,-3.599764823913574,1
144,1,-2.403848648071289,0
144,2,0.2923593521118164,0
3119,1,-7.080230712890625,1
3119,0,-5.774209022521973,0
3119,2,-3.866827964782715,0
3975,1,0.4612264633178711,1
3975,2,2.9191722869873047,0
3975,0,-1.8152046203613281,0
2340,2,-1.6505546569824219,1
2340,0,-5.666656017303467,0
2340,1,-4.395072937011719,0
1919,1,-4.490041732788086,1
1919,0,-5.636091232299805,0
1919,2,-1.7377595901489258,0
2412,0,-1.2220163345336914,1
2412,1,0.9300689697265625,0
2412,2,3.325847625732422,0
2100,1,0.3696479797363281,1
2100,0,-1.8081779479980469,0
2100,2,2.906735420227051,0
3571,2,-0.5240335464477539,1
3571,0,-4.134956359863281,0
3571,1,-3.3381166458129883,0
933,0,-3.681171417236328,1
933,1,-3.5391712188720703,0
933,2,-0.7248020172119141,0
3475,2,-2.6777124404907227,1
3475,1,-5.664218902587891,0
3475,0,-5.732719421386719,0
888,2,-3.880664825439453,1
888,1,-7.265598297119141,0
888,0,-5.357427597045898,0
2916,0,-5.280765533447266,1
2916,2,-0.5293521881103516,0
2916,1,-3.2427148818969727,0
3855,1,-6.325905799865723,1
3855,0,-6.056048393249512,0
3855,2,-3.137019157409668,0
1051,2,0.6355133056640625,1
1051,1,-2.2114763259887695,0
1051,0,-3.5218467712402344,0
295,0,-6.111505508422852,1
295,2,-3.4094972610473633,0
295,1,-6.514936447143555,0
