task,variant,metric,mean,std,n_seeds
md,universal,auc,0.5091155670276168,0.0013613399134497495,3
md,universal,ap,0.07975005404642661,0.000610370376957998,3
md,universal,precision,0.05000000000000001,6.938893903907228e-18,3
md,universal,recall,1.0,0.0,3
md,universal,f1,0.09523809523809523,0.0,3
md,universal,accuracy,0.05000000000000001,6.938893903907228e-18,3
md,universal,mrr,0.2630467094307418,0.001521898147449077,3
md,universal,hits@1,0.12320574162679425,0.003521435752124342,3
md,universal,hits@3,0.28668261562998404,0.001491888910196944,3
md,universal,hits@5,0.3879585326953748,0.004511048045847191,3
md,universal,train_time_s,0.506441417693471,0.1656111273336837,3
md,universal,eval_time_s,0.005193493678234518,1.5856297627381954e-05,3
md,universal,elapsed_time_s,0.6561798806845521,0.305304477016107,3
md,universal,time_to_best_s,0.21279514002768943,0.16091029399379486,3
md,universal,best_val_loss,0.6765375733375549,0.00011274357866995772,3
md,universal,best_epoch,5.0,0.0,3
