task,variant,metric,mean,std,n_seeds
mg,universal,auc,0.5029675373732286,0.02910212836412576,3
mg,universal,ap,0.3447241889251898,0.0176389469930708,3
mg,universal,precision,0.3436046456551189,0.048071731853765995,3
mg,universal,recall,0.5047846889952153,0.36010281627998153,3
mg,universal,f1,0.3484484300832957,0.11436186766491778,3
mg,universal,accuracy,0.49003189792663476,0.12650428760812452,3
mg,universal,mrr,0.6144338118022329,0.027131311016618594,3
mg,universal,hits@1,0.33492822966507174,0.04300678695771556,3
mg,universal,hits@3,1.0,0.0,3
mg,universal,hits@5,1.0,0.0,3
mg,universal,train_time_s,0.5982697587072229,0.17575815743825027,3
mg,universal,eval_time_s,0.005579421025079985,4.536376808957042e-06,3
mg,universal,elapsed_time_s,0.7359150076517835,0.28883504358972606,3
mg,universal,time_to_best_s,0.28558409272227436,0.17571794906495927,3
mg,universal,best_val_loss,9.192309657732645,6.715525695935253,3
mg,universal,best_epoch,7.666666666666667,6.64997911442,3
