task,variant,metric,mean,std,n_seeds
ml,universal,auc,0.4288154259931553,0.032071657382529976,3
ml,universal,ap,0.04347898416993396,0.0037054831217422615,3
ml,universal,precision,0.05000000000000001,6.938893903907228e-18,3
ml,universal,recall,1.0,0.0,3
ml,universal,f1,0.09523809523809523,0.0,3
ml,universal,accuracy,0.05000000000000001,6.938893903907228e-18,3
ml,universal,mrr,0.14047046441325925,0.017744954910069277,3
ml,universal,hits@1,0.029505582137161087,0.011107167685154799,3
ml,universal,hits@3,0.0984848484848485,0.018149611924626864,3
ml,universal,hits@5,0.17025518341307813,0.03779264947710618,3
ml,universal,train_time_s,0.37032463832292706,0.14617587187125095,3
ml,universal,eval_time_s,0.0038265830371528864,2.1312262776103772e-05,3
ml,universal,elapsed_time_s,0.5104807706472153,0.2843620462792073,3
ml,universal,time_to_best_s,0.13576386802985022,0.14598611334251724,3
ml,universal,best_val_loss,0.6964571277300516,0.0003973973886301985,3
ml,universal,best_epoch,1.6666666666666667,0.4714045207910317,3
