variant,seed,accuracy,precision_macro,recall_macro,micro_f1,macro_f1,train_time_s,elapsed_time_s,time_to_best_s,best_epoch,epochs_trained
IMDb1,1566911444,0.6041,0.6165,0.6036,0.6041,0.5980,1.67,2.16,0.64,11,51
IMDb1,20241017,0.6507,0.6518,0.6522,0.6507,0.6520,1.31,1.50,0.29,11,51
IMDb1,20251017,0.6112,0.6219,0.6111,0.6112,0.6047,1.44,1.62,0.41,16,56
IMDb2,1566911444,0.5885,0.5893,0.5930,0.5885,0.5872,1.43,1.62,0.39,15,55
IMDb2,20241017,0.6065,0.6088,0.6088,0.6065,0.6085,1.41,1.59,0.37,14,54
IMDb2,20251017,0.5849,0.5914,0.5828,0.5849,0.5858,1.57,1.75,0.52,20,60
IMDb3,1566911444,0.6041,0.6176,0.6050,0.6041,0.5997,1.36,1.54,0.32,12,52
IMDb3,20241017,0.6029,0.6092,0.6031,0.6029,0.6003,1.37,1.55,0.32,12,52
IMDb3,20251017,0.5945,0.6028,0.5943,0.5945,0.5894,1.43,1.61,0.39,15,55
IMDb4,1566911444,0.5789,0.5919,0.5782,0.5789,0.5733,1.16,1.34,0.27,12,52
IMDb4,20241017,0.5730,0.5941,0.5682,0.5730,0.5729,1.43,1.61,0.54,24,64
IMDb4,20251017,0.5957,0.6007,0.5966,0.5957,0.5984,1.21,1.38,0.32,14,54
