metric,mean,std,n_seeds
mrr,0.032907,0.003487,3
mrr_tail,0.051256,0.004188,3
mrr_head,0.014558,0.002852,3
hits@1,0.016774,0.002549,3
hits@3,0.034606,0.004450,3
hits@10,0.061577,0.005944,3
hits@1_tail,0.026487,0.002840,3
hits@3_tail,0.057061,0.005326,3
hits@10_tail,0.098387,0.007391,3
hits@1_head,0.007061,0.002276,3
hits@3_head,0.012151,0.003587,3
hits@10_head,0.024767,0.005188,3
accuracy,0.830831,0.002395,3
precision,0.543505,0.001071,3
recall,0.837870,0.006458,3
f1,0.534875,0.002284,3
best_epoch,199.666667,0.471405,3
best_val_loss,0.697159,0.017534,3
train_time_s,21.273670,0.518817,3
eval_time_s,5.229513,0.107112,3
elapsed_time_s,26.660365,0.730609,3
time_to_best_s,21.238088,0.546643,3
epochs_trained,200.000000,0.000000,3
