metric,mean,std,n_seeds
mrr,0.006451,0.000874,3
mrr_tail,0.010428,0.000562,3
mrr_head,0.002474,0.001186,3
hits@1,0.002545,0.000753,3
hits@3,0.004337,0.000748,3
hits@10,0.014713,0.000311,3
hits@1_tail,0.003978,0.000686,3
hits@3_tail,0.005986,0.000051,3
hits@10_tail,0.026201,0.000396,3
hits@1_head,0.001111,0.000884,3
hits@3_head,0.002688,0.001521,3
hits@10_head,0.003226,0.000912,3
accuracy,0.458519,0.071748,3
precision,0.506020,0.000804,3
recall,0.576037,0.012138,3
f1,0.333212,0.037028,3
best_epoch,11.666667,2.624669,3
best_val_loss,1.385528,0.000174,3
train_time_s,11.619464,1.621782,3
eval_time_s,3.336333,0.037727,3
elapsed_time_s,15.115764,1.744690,3
time_to_best_s,6.373296,1.620463,3
