metric,mean,std,n_seeds
mrr,0.004428,0.002812,3
mrr_tail,0.004590,0.003387,3
mrr_head,0.004267,0.002282,3
hits@1,0.001165,0.000946,3
hits@3,0.003548,0.002271,3
hits@10,0.008315,0.005412,3
hits@1_tail,0.000430,0.000351,3
hits@3_tail,0.002222,0.002559,3
hits@10_tail,0.009606,0.008072,3
hits@1_head,0.001900,0.001562,3
hits@3_head,0.004875,0.002722,3
hits@10_head,0.007025,0.003861,3
accuracy,0.566876,0.343446,3
precision,0.520693,0.013274,3
recall,0.666688,0.113483,3
f1,0.365371,0.202179,3
best_epoch,134.666667,92.395286,3
best_val_loss,1.143117,0.171024,3
train_time_s,1394.465861,886.080769,3
eval_time_s,5.191438,0.043587,3
elapsed_time_s,1400.290236,885.943927,3
time_to_best_s,1360.805301,933.677798,3
